Zone;Africa/Algiers;0;12;12;LMT;1891;3;16
6;30;0;-;%z;0;1;1;0;0;0
Zone;Asia/Shanghai;8;05;43;LMT;1901;1;1
8;00;0;Shang;C%sT;1949;5;28;0;0;0
8;00;0;PRC;C%sT;0;1;1;0;0;0
Zone;Asia/Urumqi;5;50;20;LMT;1928;1;1
6;00;0;-;%z;0;1;1;0;0;0
Zone;Asia/Hong_Kong;7;36;42;LMT;1904;10;29
8;00;0;-;HKT;1941;6;15;3;00;0
8;00;0;1:00;HKST;1941;10;1;4;00;0
8;00;0;0:30;HKWT;1941;12;25;0;0;0
9;00;0;-;JST;1945;11;18;2;00;0
8;00;0;HK;HK%sT;0;1;1;0;0;0
Zone;Asia/Taipei;8;06;00;LMT;1896;1;1
8;00;0;-;CST;1937;10;1;0;0;0
9;00;0;-;JST;1945;9;21;1;00;0
8;00;0;Taiwan;C%sT;0;1;1;0;0;0
Zone;Asia/Macau;7;34;10;LMT;1904;10;30
8;00;0;-;CST;1941;12;21;23;00;0
9;00;0;Macau;%z;1945;9;30;24;00;0
8;00;0;Macau;C%sT;0;1;1;0;0;0
Zone;Asia/Nicosia;2;13;28;LMT;1921;11;14
2;00;0;Cyprus;EE%sT;1998;9;1;0;0;0
2;00;0;EUAsia;EE%sT;0;1;1;0;0;0
Zone;Asia/Famagusta;2;15;48;LMT;1921;11;14
2;00;0;Cyprus;EE%sT;1998;9;1;0;0;0
2;00;0;EUAsia;EE%sT;2016;9;8;0;0;0
3;00;0;-;%z;2017;10;29;1;00u;0
2;00;0;EUAsia;EE%sT;0;1;1;0;0;0
Zone;Asia/Tbilisi;2;59;11;LMT;1880;1;1
2;59;11;-;TBMT;1924;5;2;0;0;0
3;00;0;-;%z;1957;3;1;0;0;0
4;00;0;RussiaAsia;%z;1991;3;31;2;00s;0
3;00;0;RussiaAsia;%z;1992;1;1;0;0;0
3;00;0;E-EurAsia;%z;1994;9;lastSun;0;0;0
4;00;0;E-EurAsia;%z;1996;10;lastSun;0;0;0
4;00;0;1:00;%z;1997;3;lastSun;0;0;0
4;00;0;E-EurAsia;%z;2004;6;27;0;0;0
